;Фамилия автора по-русски;Название журнала;Год публикации
1;Грин;Иностранная литература;1956
2;Фелисатти;Человек и закон;1980
3;Грин;Иностранная литература;1959
4;Фелисатти и Сантини;Журналист;1987
5;Грин;Урал;1962
6;Фикер;Радуга;1963
7;Грин;Подъем;1964
8;Фикер;Простор;1967
9;Грин;Вокруг света;1965
10;Фишер;Подъем;1972
11;Грин;Иностранная литература;1986
12;"Флетчер; Ульман";Сельская молодежь;1982
13;Грин;Огонек;1988
14;Фолпрехт;Подвиг;1984
15;Гюнтер;Искатель;1979
16;Форсайт;Простор;1974
17;Дедина;Наш современник;1969
18;Форсайт;Сельская молодежь;1985
19;Джессеп;Огонек;1972
20;Френсис;Дон;1978
21;Димона;Огонек;1985
22;Френсис;Искатель;1980
23;Дойл;Искатель;1964
24;Френсис;Физкультура и спорт;1984
25;Дойл;Наука и жизнь;1965
26;Френсис;Физкультура и спорт;1986
27;Дойл;Звезда Востока;1966
28;Френсис;Звезда Востока;1989
29;Дойл;Наука и жизнь;1966
30;Фрилинг;Звезда востока;1969
31;Дойл;Вокруг света;1967
32;Фриш;Иностранная литература;1982
33;Дойл;Волга;1967
34;Хаймз;Вокруг света;1974
35;Дойл;Звезда Востока;1967
36;Харкенталь;Сельская молодежь;1973
37;Дойл;Звезда Востока;1968
38;Хейсти;Молодая гвардия;1969
39;Дойл;Азия и Африка сегодня;1969
40;Хен;Подвиг;1976
41;Дойл;Искатель;1980
42;Холл (наст. - Дадли-Смит);Подвиг;1968
43;Дойл;Неделя;1980
44;Хэйр;Нева;1965
45;Дойл;Дон;1986
46;Хэйр;Неделя;1968
47;Дойл;Огонек;1986
48;Хэйр;Литературная Россия;1981
49;Дойл;Смена;1986
50;Хэммет;Радуга;1978
51;Дойл;Уральский следопыт;1986
52;Хэммет;Подвиг;1979
53;Дойл;Дон;1987
54;Хэммет;Сельская молодежь;1985
55;Дойл;Звезда Востока;1987
56;Хэммет;Литературный Киргизстан;1987
57;Дойл;Звезда Востока;1987
58;Хэммет;Иностранная литература;1988
59;Дойл;Звезда Востока;1987
60;Хэммет;Иностранная литература;1988
61;Дойл;Простор;1988
62;Хэммет;Волга;1989
63;Дор;Человек и закон;1974
64;Хэммет;Детектив и политика;1989
65;Дюрренматт;Иностранная литература;1961
66;Цейске;Подвиг;1973
67;Дюрренматт;Вокруг света;1966
68;Чандлер;Сельская молодежь;1987
69;Дюрренматт;Иностранная литература;1966
70;Чандлер;Литературная Армения;1988
71;Дюрренматт;Сибирские огни;1966
72;Чандлер;Подъем;1988
73;Дюрренматт;Иностранная литература;1988
74;Чандлер;Огонек;1989
